state_ansi	county_ansi	state_alpha	county_name	commodity	value
40	105	OK	NOWATA	HAY	29,606
08	001	CO	ADAMS	HAY	5,056
32	001	NV	CHURCHILL	HAY	24,209
48	001	TX	ANDERSON	HAY	873
26	145	MI	SAGINAW	HAY	70
48	233	TX	HUTCHINSON	HAY	(D)
47	039	TN	DECATUR	HAY	9,597
46	037	SD	DAY	HAY	7,662
56	007	WY	CARBON	HAY	73,185
36	033	NY	FRANKLIN	HAY	(D)
16	087	ID	WASHINGTON	HAY	32,784
21	107	KY	HOPKINS	HAY	64
51	181	VA	SURRY	HAY	966
37	059	NC	DAVIE	HAY	9,257
30	095	MT	STILLWATER	HAY	36,583
29	061	MO	DAVIESS	HAY	161
08	001	CO	ADAMS	GRASSES & LEGUMES TOTALS	(D)
17	053	IL	FORD	HAY	1,803
36	009	NY	CATTARAUGUS	HAY	5,934
40	141	OK	TILLMAN	HAY	(D)
49	019	UT	GRAND	HAY	426
47	085	TN	HUMPHREYS	HAY	13,473
50	025	VT	WINDHAM	HAY	(D)
46	025	SD	CLARK	HAY	18,883
28	139	MS	TIPPAH	HAY	6,467
08	117	CO	SUMMIT	HAY	(D)
19	187	IA	WEBSTER	HAY	2,034
18	005	IN	BARTHOLOMEW	HAY	2,771
40	065	OK	JACKSON	HAY	13,784
48	195	TX	HANSFORD	HAY	(D)
06	025	CA	IMPERIAL	HAY	268,870
51	111	VA	LUNENBURG	HAY	8,707
56	027	WY	NIOBRARA	HAY	6,415
06	095	CA	SOLANO	HAY	28,126
13	287	GA	TURNER	SOD	(D)
53	053	WA	PIERCE	HAY	(D)
18	045	IN	FOUNTAIN	HAY	525
08	003	CO	ALAMOSA	HAY	17,407
21	179	KY	NELSON	HAY	2,324
37	077	NC	GRANVILLE	HAY	222
28	085	MS	LINCOLN	HAY	8,386
16	067	ID	MINIDOKA	HAY	3,199
04	007	AZ	GILA	HAY	512
20	159	KS	RICE	HAY	784
48	061	TX	CAMERON	HAY	6,063
41	001	OR	BAKER	HAY	54,258
01	003	AL	BALDWIN	HAY	180
04	007	AZ	GILA	HAY	512
54	107	WV	WOOD	HAY	82
53	025	WA	GRANT	GRASSES & LEGUMES TOTALS	6,651
13	305	GA	WAYNE	HAY	(D)
19	195	IA	WORTH	HAY	2,250
28	077	MS	LAWRENCE	HAY	6,883
04	019	AZ	PIMA	GRASSES & LEGUMES TOTALS	(D)
08	014	CO	BROOMFIELD	HAY	(D)
17	125	IL	MASON	HAY	1,604
22	039	LA	EVANGELINE	HAY	188
48	279	TX	LAMB	HAY	747
27	111	MN	OTTER TAIL	GRASSES & LEGUMES TOTALS	(D)
24	027	MD	HOWARD	HAY	929
25	003	MA	BERKSHIRE	HAY	82
51	079	VA	GREENE	HAY	606
42	041	PA	CUMBERLAND	HAY	70
13	283	GA	TREUTLEN	HAY	100
26	153	MI	SCHOOLCRAFT	HAY	1,876
08	101	CO	PUEBLO	HAY	1,546
47	125	TN	MONTGOMERY	HAY	(D)
27	149	MN	STEVENS	HAY	969
37	041	NC	CHOWAN	HAY	(D)
13	267	GA	TATTNALL	HAY	4,431
21	201	KY	ROBERTSON	HAY	538
31	109	NE	LANCASTER	HAY	21
48	421	TX	SHERMAN	HAY	7,112
21	003	KY	ALLEN	GRASSES & LEGUMES TOTALS	(D)
30	045	MT	JUDITH BASIN	HAY	7,758
51	091	VA	HIGHLAND	HAY	389
46	121	SD	TODD	HAY	59,727
01	133	AL	WINSTON	HAY	6,278
42	017	PA	BUCKS	HAY	169
01	077	AL	LAUDERDALE	HAY	27
46	107	SD	POTTER	HAY	18,253
19	161	IA	SAC	HAY	3,058
38	059	ND	MORTON	HAY	135,430
51	165	VA	ROCKINGHAM	HAY	28,321
21	009	KY	BARREN	HAY	51,876
53	039	WA	KLICKITAT	HAY	8,922
48	289	TX	LEON	HAY	455
40	123	OK	PONTOTOC	SOD	270
13	183	GA	LONG	HAY	(D)
48	189	TX	HALE	HAY	11,476
37	199	NC	YANCEY	HAY	2,179
51	089	VA	HENRY	HAY	8,484
39	165	OH	WARREN	HAY	3,653
37	043	NC	CLAY	HAY	3,940
48	341	TX	MOORE	HAY	5,634
28	013	MS	CALHOUN	HAY	202
17	187	IL	WARREN	HAY	1,071
31	039	NE	CUMING	HAY	12,138
30	079	MT	PRAIRIE	HAY	387
26	065	MI	INGHAM	HAY	1,765
48	425	TX	SOMERVELL	HAY	(D)
48	219	TX	HOCKLEY	HAY	2,459
46	065	SD	HUGHES	HAY	1,050
48	067	TX	CASS	HAY	728
46	083	SD	LINCOLN	HAY	1,352
41	027	OR	HOOD RIVER	HAY	771
48	325	TX	MEDINA	HAY	27,796
29	225	MO	WEBSTER	HAY	194
46	135	SD	YANKTON	HAY	(D)
19	009	IA	AUDUBON	HAY	4,268
16	065	ID	MADISON	HAY	(D)
39	077	OH	HURON	HAY	4,305
40	029	OK	COAL	HAY	(D)
21	131	KY	LESLIE	HAY	80
19	003	IA	ADAMS	HAY	13,568
40	099	OK	MURRAY	HAY	13,075
21	165	KY	MENIFEE	HAY	3,807
18	031	IN	DECATUR	HAY	2,924
06	085	CA	SANTA CLARA	HAY	268
04	009	AZ	GRAHAM	HAY	5,026
48	283	TX	LA SALLE	HAY	2,757
13	235	GA	PULASKI	HAY	240
08	115	CO	SEDGWICK	HAY	3,579
40	053	OK	GRANT	HAY	6,118
40	087	OK	MCCLAIN	HAY	(D)
30	035	MT	GLACIER	HAY	26,667
06	061	CA	PLACER	HAY	3,116
13	017	GA	BEN HILL	HAY	(D)
05	145	AR	WHITE	HAY	1,359
22	103	LA	SAINT TAMMANY	HAY	5,868
48	293	TX	LIMESTONE	HAY	24,168
54	099	WV	WAYNE	HAY	59
30	025	MT	FALLON	HAY	9,976
47	177	TN	WARREN	HAY	162
48	111	TX	DALLAM	HAY	55,409
40	025	OK	CIMARRON	HAY	(D)
39	085	OH	LAKE	HAY	211
05	075	AR	LAWRENCE	HAY	13,951
27	147	MN	STEELE	HAY	1,043
04	011	AZ	GREENLEE	HAY	2,985
27	003	MN	ANOKA	HAY	(D)
20	077	KS	HARPER	HAY	16,440
02		AK	KENAI PENINSULA	HAY	1,550
47	041	TN	DE KALB	HAY	125
29	119	MO	MCDONALD	HAY	29,756
47	131	TN	OBION	HAY	294
13	129	GA	GORDON	HAY	136
24	035	MD	QUEEN ANNES	HAY	1,222
22	019	LA	CALCASIEU	HAY	7,248
08	069	CO	LARIMER	HAY	12,738
13	029	GA	BRYAN	HAY	3,126
31	169	NE	THAYER	HAY	5,906
28	013	MS	CALHOUN	HAY	9,446
54	061	WV	MONONGALIA	HAY	7,013
24	041	MD	TALBOT	HAY	(D)
47	007	TN	BLEDSOE	HAY	219
31	151	NE	SALINE	HAY	761
41	049	OR	MORROW	HAY	17,483
39	135	OH	PREBLE	HAY	1,966
21	069	KY	FLEMING	HAY	7,779
30	105	MT	VALLEY	HAY	63,089
34	011	NJ	CUMBERLAND	HAY	197
20	051	KS	ELLIS	HAY	365
42	063	PA	INDIANA	HAY	35
21	003	KY	ALLEN	HAY	(D)
10	003	DE	NEW CASTLE	HAY	(D)
41	055	OR	SHERMAN	HAY	328
26	015	MI	BARRY	HAY	14,549
48	273	TX	KLEBERG	HAY	1,870
34	029	NJ	OCEAN	HAY	384
46	102	SD	OGLALA LAKOTA	HAY	17,149
42	117	PA	TIOGA	HAY	55,727
20	161	KS	RILEY	HAY	7,950
30	033	MT	GARFIELD	HAY	30,225
31	001	NE	ADAMS	HAY	1,753
13	243	GA	RANDOLPH	HAY	295
12	107	FL	PUTNAM	HAY	47
17	203	IL	WOODFORD	HAY	(D)
49	019	UT	GRAND	HAY	5,348
42	087	PA	MIFFLIN	HAY	3,391
31	163	NE	SHERMAN	HAY	13,163
13	275	GA	THOMAS	HAY	162
23	029	ME	WASHINGTON	HAY	924
41	049	OR	MORROW	GRASSES & LEGUMES TOTALS	8,257
12	069	FL	LAKE	HAY	479
13	119	GA	FRANKLIN	HAY	557
55	009	WI	BROWN	HAY	(D)
26	151	MI	SANILAC	HAY	2,418
12	001	FL	ALACHUA	HAY	26,116
31	145	NE	RED WILLOW	HAY	2,750
47	121	TN	MEIGS	HAY	19
25	003	MA	BERKSHIRE	HAY	82
12	129	FL	WAKULLA	HAY	947
13	205	GA	MITCHELL	HAY	(D)
49	023	UT	JUAB	HAY	9,771
17	097	IL	LAKE	SOD	(D)
26	095	MI	LUCE	HAY	1,570
36	071	NY	ORANGE	HAY	(D)
29	189	MO	ST LOUIS	HAY	1,020
53	037	WA	KITTITAS	HAY	11,658
20	167	KS	RUSSELL	HAY	116
06	031	CA	KINGS	HAY	15,107
40	037	OK	CREEK	HAY	36,322
26	015	MI	BARRY	HAY	17,009
19	069	IA	FRANKLIN	HAY	2,491
13	257	GA	STEPHENS	HAY	(D)
50	019	VT	ORLEANS	HAY	14,193
16	083	ID	TWIN FALLS	GRASSES & LEGUMES TOTALS	116
16	041	ID	FRANKLIN	HAY	36,521
54	097	WV	UPSHUR	HAY	6,622
01	025	AL	CLARKE	HAY	(D)
13	015	GA	BARTOW	HAY	(D)
13	149	GA	HEARD	SOD	(D)
36	039	NY	GREENE	HAY	6,582
47	035	TN	CUMBERLAND	HAY	4
51	051	VA	DICKENSON	HAY	1,121
38	059	ND	MORTON	HAY	1,514
41	025	OR	HARNEY	GRASSES & LEGUMES TOTALS	(D)
30	047	MT	LAKE	HAY	30,043
28	065	MS	JEFFERSON DAVIS	HAY	5,417
45	017	SC	CALHOUN	HAY	(D)
13	167	GA	JOHNSON	HAY	4,383
37	083	NC	HALIFAX	HAY	(D)
48	005	TX	ANGELINA	HAY	6,927
17	079	IL	JASPER	HAY	2,409
32	031	NV	WASHOE	HAY	6,972
47	099	TN	LAWRENCE	HAY	27,994
18	155	IN	SWITZERLAND	HAY	137
12	103	FL	PINELLAS	HAY	(D)
01	019	AL	CHEROKEE	HAY	(D)
46	081	SD	LAWRENCE	HAY	2,927
18	065	IN	HENRY	HAY	1,142
48	317	TX	MARTIN	HAY	13,175
42	127	PA	WAYNE	HAY	282
20	167	KS	RUSSELL	HAY	14,920
41	047	OR	MARION	HAY	4,736
24	011	MD	CAROLINE	HAY	94
49	015	UT	EMERY	HAY	3,508
18	071	IN	JACKSON	SOD	(D)
49	021	UT	IRON	HAY	10,378
48	457	TX	TYLER	HAY	5,430
56	037	WY	SWEETWATER	HAY	10,716
29	183	MO	ST CHARLES	HAY	6,148
42	107	PA	SCHUYLKILL	GRASSES & LEGUMES TOTALS	(D)
47	117	TN	MARSHALL	HAY	612
18	099	IN	MARSHALL	HAY	(D)
08	045	CO	GARFIELD	GRASSES & LEGUMES TOTALS	(D)
47	081	TN	HICKMAN	HAY	42
29	009	MO	BARRY	HAY	(D)
12	047	FL	HAMILTON	HAY	5,245
49	017	UT	GARFIELD	HAY	(D)
01	005	AL	BARBOUR	HAY	12,050
53	063	WA	SPOKANE	HAY	3,027
48	105	TX	CROCKETT	HAY	1,500
37	037	NC	CHATHAM	HAY	202
51	009	VA	AMHERST	HAY	1,152
13	187	GA	LUMPKIN	HAY	459
54	073	WV	PLEASANTS	HAY	(D)
55	135	WI	WAUPACA	HAY	19,412
38	003	ND	BARNES	HAY	8,473
55	131	WI	WASHINGTON	HAY	9,421
48	011	TX	ARMSTRONG	HAY	(D)
53	039	WA	KLICKITAT	HAY	37,040
18	091	IN	LA PORTE	HAY	983
45	085	SC	SUMTER	HAY	324
31	181	NE	WEBSTER	HAY	12,790
16	051	ID	JEFFERSON	GRASSES & LEGUMES TOTALS	(D)
30	111	MT	YELLOWSTONE	HAY	15,653
27	077	MN	LAKE OF THE WOODS	HAY	1,908
37	125	NC	MOORE	HAY	200
30	087	MT	ROSEBUD	HAY	19,054
47	025	TN	CLAIBORNE	HAY	544
50	003	VT	BENNINGTON	HAY	(D)
05	121	AR	RANDOLPH	HAY	22,982
28	139	MS	TIPPAH	SOD	(D)
38	049	ND	MCHENRY	HAY	4,416
26	147	MI	ST CLAIR	HAY	5,765
48	081	TX	COKE	HAY	3,920
20	189	KS	STEVENS	HAY	(D)
26	023	MI	BRANCH	HAY	61
40	051	OK	GRADY	SOD	(D)
48	355	TX	NUECES	HAY	(D)
55	005	WI	BARRON	HAY	(D)
21	161	KY	MASON	SOD	(D)
28	139	MS	TIPPAH	HAY	24
20	067	KS	GRANT	HAY	(D)
19	113	IA	LINN	HAY	(D)
27	163	MN	WASHINGTON	HAY	5,275
54	055	WV	MERCER	HAY	7,070
39	079	OH	JACKSON	HAY	12,948
48	077	TX	CLAY	HAY	(D)
30	103	MT	TREASURE	GRASSES & LEGUMES TOTALS	1,087
18	053	IN	GRANT	HAY	836
36	111	NY	ULSTER	HAY	5,185
42	037	PA	COLUMBIA	HAY	6,191
55	063	WI	LA CROSSE	HAY	11,224
27	089	MN	MARSHALL	HAY	21,264
53	061	WA	SNOHOMISH	GRASSES & LEGUMES TOTALS	(D)
37	059	NC	DAVIE	HAY	376
21	045	KY	CASEY	HAY	32,048
40	123	OK	PONTOTOC	HAY	31,818
13	239	GA	QUITMAN	HAY	215
48	239	TX	JACKSON	HAY	675
36	099	NY	SENECA	HAY	4,710
13	083	GA	DADE	HAY	3,542
16	071	ID	ONEIDA	GRASSES & LEGUMES TOTALS	4,116
29	011	MO	BARTON	HAY	(D)
31	139	NE	PIERCE	HAY	6,384
17	203	IL	WOODFORD	HAY	1,118
08	011	CO	BENT	GRASSES & LEGUMES TOTALS	(D)
30	099	MT	TETON	HAY	9,924
13	261	GA	SUMTER	HAY	(D)
53	043	WA	LINCOLN	HAY	24,098
13	183	GA	LONG	HAY	(D)
46	045	SD	EDMUNDS	HAY	(D)
40	149	OK	WASHITA	HAY	36,096
40	007	OK	BEAVER	HAY	23,698
48	313	TX	MADISON	HAY	864
45	019	SC	CHARLESTON	HAY	580
39	147	OH	SENECA	HAY	(D)
37	093	NC	HOKE	HAY	1,546
08	097	CO	PITKIN	HAY	3,645
30	023	MT	DEER LODGE	HAY	1,378
35	029	NM	LUNA	HAY	4,163
55	063	WI	LA CROSSE	HAY	(D)
13	199	GA	MERIWETHER	HAY	10,154
30	073	MT	PONDERA	HAY	13,213
26	139	MI	OTTAWA	HAY	(D)
38	057	ND	MERCER	HAY	371
42	023	PA	CAMERON	HAY	440
01	061	AL	GENEVA	HAY	7,387
36	039	NY	GREENE	HAY	5,693
37	099	NC	JACKSON	HAY	36
48	257	TX	KAUFMAN	HAY	(D)
48	389	TX	REEVES	HAY	(D)
01	067	AL	HENRY	HAY	9,585
17	049	IL	EFFINGHAM	HAY	4
21	209	KY	SCOTT	HAY	19,672
21	065	KY	ESTILL	HAY	6,663
20	149	KS	POTTAWATOMIE	HAY	6,077
41	001	OR	BAKER	GRASSES & LEGUMES TOTALS	(D)
17	117	IL	MACOUPIN	HAY	4,983
49	049	UT	UTAH	HAY	19,835
47	143	TN	RHEA	HAY	13,526
06	073	CA	SAN DIEGO	HAY	(D)
16	069	ID	NEZ PERCE	GRASSES & LEGUMES TOTALS	4,922
